Sarah_Funace_Cave
SURVEY NAME: Sarah_Furnace_Cave_Data
SURVEY DATE: 3 09 2025  COMMENT: All Sarah Furnac cave data as of 2024
SURVEY TEAM: 
SAS
DECLINATION:  0  FORMAT: DDDDLRUDLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00  DISCOVERY: 2 20 2025  PREFIX:

	FROM	TO		LENGTH	BEARING	INC		LEFT	UP		DOWN	RIGHT	FLAGS	COMMENTS

	ADA03	AAA14	0.90	260.35	8.00	0.00	0.00	0.00	0.00
	ADA03	ADA05	5.17	257.85	15.00	0.00	0.00	0.00	0.00
	ADA05	ADA06	7.83	26.85	-5.00	0.00	0.00	0.00	0.00
	ADA06	ADA07	15.42	96.35	3.00	0.00	0.00	0.00	0.00
	ADA06	ADA08	6.40	99.02	0.00	0.00	0.00	0.00	0.00
	ADA08	ADA09	4.42	10.02	0.63	0.00	0.00	0.00	0.00
	ADA09	AAA11	5.98	81.60	5.83	0.00	0.00	0.00	0.00
	ACA08	ADB01	10.30	87.90	-7.90	0.00	0.00	0.00	0.00
	ADB01	ADB02	13.29	18.20	-1.85	0.00	0.00	0.00	0.00
	ADB02	ADB03	7.00	49.30	-2.20	0.00	0.00	0.00	0.00
	ADB03	ADB04	8.24	338.40	-6.75	0.00	0.00	0.00	0.00
	ADB04	ADB04a	7.68	226.65	-1.20	0.00	0.00	0.00	0.00
	ADB04	ADB05	4.80	302.85	-23.20	0.00	0.00	0.00	0.00
	ADB05	ADB06	2.90	250.85	2.80	0.00	0.00	0.00	0.00
	ADB06	ADB07	3.38	261.00	2.10	0.00	0.00	0.00	0.00
	ADB07	ADB07a	6.43	116.85	1.30	0.00	0.00	0.00	0.00
	ADB08	ADB07	2.73	72.05	4.65	0.00	0.00	0.00	0.00
	ADB08	ADB08a	8.08	146.35	-0.80	0.00	0.00	0.00	0.00
	ADB08	ADB09	5.46	231.75	5.05	0.00	0.00	0.00	0.00
	ADB09	ADB10	2.54	154.60	13.10	0.00	0.00	0.00	0.00
	ADB10	ADB10a	6.47	88.25	-12.70	0.00	0.00	0.00	0.00
	ADB08	ADB11	6.64	0.40	11.60	0.00	0.00	0.00	0.00
	ADA04	AEA01	9.23	331.15	-12.00	0.00	0.00	0.00	0.00
	AEA01	AEA02	9.53	208.07	9.10	0.00	0.00	0.00	0.00
	AEA01	AEA03	8.56	325.65	5.70	0.00	0.00	0.00	0.00
	AEA02	ADA01	3.73	246.37	2.90	0.00	0.00	0.00	0.00
	ADA09	AEA04	8.26	318.32	-0.77	0.00	0.00	0.00	0.00
	AEA04	AAA03	10.30	27.95	4.85	0.00	0.00	0.00	0.00
	AEA04	AEA05	7.75	215.87	4.63	0.00	0.00	0.00	0.00
	AEA05	AEA06	3.78	280.25	0.40	0.00	0.00	0.00	0.00
	AEA06	AEA07	8.71	205.65	3.20	0.00	0.00	0.00	0.00
	AEA07	AEA01	6.54	334.65	-9.80	0.00	0.00	0.00	0.00
	AAA13	AEA08	13.94	273.73	-15.45	0.00	0.00	0.00	0.00
	AEA08	AEA09	13.65	225.51	-0.05	0.00	0.00	0.00	0.00
	AEA09	AEA10	3.66	190.25	9.35	0.00	0.00	0.00	0.00
	AEA10	AEA11	10.31	235.95	-7.85	0.00	0.00	0.00	0.00
	AEA11	AEA12	13.26	202.05	1.83	0.00	0.00	0.00	0.00
	AEA12	AAA18	15.44	110.95	5.50	0.00	0.00	0.00	0.00
	ACA08	AFA01	13.90	140.48	1.50	0.00	0.00	0.00	0.00
	AFA01	114.00	9.90	170.35	-22.50	0.00	0.00	0.00	0.00
	AFA02	AFA03	7.45	191.60	1.50	0.00	0.00	0.00	0.00
	AFA03	ACA21	13.45	309.10	-8.75	0.00	0.00	0.00	0.00
	AFA03	AFA04	9.90	65.35	-1.75	0.00	0.00	0.00	0.00
	AFA04	AFA05	5.35	114.35	1.25	0.00	0.00	0.00	0.00
	AFA05	114.00	11.70	340.85	-6.50	0.00	0.00	0.00	0.00
	AFA04	AFA06	14.80	60.60	-0.25	0.00	0.00	0.00	0.00
	AFA05	AFA07	16.90	50.85	-3.25	0.00	0.00	0.00	0.00
